account,traditional_category
a17218,both_directions
a02722,isolated
a24429,isolated
a11232,isolated
a15147,backward_only
a00931,backward_only
a12429,forward_only
a03162,both_directions
a17798,isolated
a00891,backward_only
a29789,isolated
a02985,forward_only
a21258,backward_only
a13561,isolated
a10695,both_directions
a30946,forward_only
a19873,both_directions
a22526,isolated
a00933,forward_only
a27934,backward_only
a00581,isolated
a30471,isolated
a20589,isolated
a21147,isolated
a11857,isolated
a30796,forward_only
a18651,backward_only
a21353,isolated
a13508,both_directions
a24193,isolated
a23959,both_directions
a07587,backward_only
a23102,isolated
a27370,isolated
a26870,isolated
a02133,isolated
a09784,backward_only
a14914,backward_only
a01434,backward_only
a26286,isolated
a02289,isolated
a18448,isolated
a21645,backward_only
a18249,backward_only
a22615,forward_only
a00911,backward_only
a14650,backward_only
a13252,isolated
a08444,isolated
a06157,both_directions
a12525,isolated
a30686,isolated
a31403,isolated
a03859,forward_only
a14258,both_directions
a07216,forward_only
a02871,backward_only
a22473,forward_only
a11691,isolated
a11257,isolated
a29053,backward_only
a24545,backward_only
a09378,isolated
a20089,backward_only
a04396,backward_only
a11483,both_directions
a29485,backward_only
a25134,backward_only
a23614,backward_only
a01240,both_directions
a10587,both_directions
a21902,isolated
a04905,forward_only
a00179,both_directions
a11247,isolated
a02075,isolated
a08421,forward_only
a25970,isolated
a00596,both_directions
a30276,backward_only
a09950,isolated
a27093,backward_only
a28599,isolated
a21975,isolated
a22308,forward_only
a27152,isolated
a02331,both_directions
a19387,isolated
a14569,backward_only
a24002,isolated
a30297,isolated
a28526,isolated
a06705,isolated
a11012,forward_only
a15193,backward_only
a30455,both_directions
a25757,isolated
a14781,isolated
a25806,isolated
a07400,both_directions
a30924,isolated
a19830,backward_only
a06087,isolated
a30720,isolated
a07698,forward_only
a24267,backward_only
a26758,backward_only
a26814,forward_only
a12405,isolated
a13562,isolated
a24745,backward_only
a16697,forward_only
a29361,forward_only
a02587,both_directions
a07618,isolated
a18445,forward_only
a02341,isolated
a24770,both_directions
a14249,backward_only
a06501,isolated
a18133,isolated
a21558,both_directions
a19723,both_directions
a17523,isolated
a22273,isolated
a23464,backward_only
a19946,backward_only
a22431,backward_only
a06728,isolated
a25708,backward_only
a05215,both_directions
a05605,backward_only
a12209,isolated
a06848,isolated
a25937,isolated
a26528,both_directions
a05740,forward_only
a03438,backward_only
a27351,forward_only
a17275,isolated
a12972,both_directions
a01748,forward_only
a29241,both_directions
a01737,both_directions
a09204,isolated
a05851,isolated
a01899,forward_only
a27252,backward_only
a09542,isolated
a11578,isolated
a09220,isolated
a05461,forward_only
a22039,isolated
a10379,isolated
a03518,isolated
a23842,both_directions
a12785,backward_only
a05790,isolated
a21373,forward_only
a07225,backward_only
a04536,forward_only
a15414,isolated
a24374,backward_only
a20447,isolated
a18620,isolated
a08141,isolated
a15832,isolated
a25090,isolated
a30072,forward_only
a15710,isolated
a30286,backward_only
a01919,forward_only
a29853,isolated
a02843,isolated
a12107,backward_only
a05511,backward_only
a03443,both_directions
a10356,both_directions
a00552,backward_only
a07762,forward_only
a10521,forward_only
a06545,forward_only
a12513,backward_only
a07316,isolated
a26499,isolated
a20801,isolated
a30535,isolated
a30112,isolated
a04909,isolated
a13402,isolated
a10874,backward_only
a15667,forward_only
a28410,isolated
a08378,isolated
a09855,isolated
a00571,backward_only
a25707,isolated
a22811,isolated
a06436,isolated
a19085,isolated
a07270,backward_only
a01322,isolated
a22767,forward_only
a21803,isolated
a06743,backward_only
a04296,isolated
a11736,backward_only
a05139,forward_only
a26485,isolated
a28153,backward_only
a23072,isolated
a28225,isolated
a25600,isolated
a04853,backward_only
a13077,isolated
a15399,isolated
a27035,isolated
a18955,both_directions
a26062,isolated
a17350,isolated
a10905,isolated
a24036,isolated
a08410,isolated
a10752,backward_only
a18361,forward_only
a07736,backward_only
a03931,backward_only
a14998,both_directions
a24045,forward_only
a04646,isolated
a22312,backward_only
a23626,isolated
a15410,isolated
a31421,forward_only
a19154,backward_only
a21459,backward_only
a22102,isolated
a11359,isolated
a29082,isolated
a06702,forward_only
a21555,isolated
a05195,isolated
a03166,isolated
a11355,backward_only
a23459,both_directions
a13504,both_directions
a29516,backward_only
a29310,forward_only
a21677,backward_only
a18641,both_directions
a03378,forward_only
a10450,isolated
a29779,forward_only
a00528,isolated
a22901,both_directions
a18794,isolated
a08701,isolated
a18685,isolated
a08753,isolated
a00817,isolated
a29807,forward_only
a02562,both_directions
a00859,isolated
a25758,isolated
a07553,forward_only
a29109,both_directions
a12768,forward_only
a27310,backward_only
a13063,isolated
a10429,backward_only
a27474,forward_only
a12653,both_directions
a14504,isolated
a07602,both_directions
a10335,isolated
a10864,isolated
a08791,isolated
a18692,backward_only
a06738,backward_only
a13437,backward_only
a19905,isolated
a22389,isolated
a03543,backward_only
a16172,forward_only
a24498,isolated
a23916,isolated
a28272,isolated
a08773,isolated
a11301,forward_only
a14895,isolated
a05702,both_directions
a03835,backward_only
a01776,isolated
a30441,backward_only
a14459,isolated
a06103,isolated
a15733,forward_only
a06666,isolated
a08708,isolated
a28518,backward_only
a00760,both_directions
a24428,isolated
a29253,backward_only
a29651,forward_only
a31122,isolated
a18534,backward_only
a27379,backward_only
a27406,backward_only
a10165,isolated
a02170,backward_only
a10737,both_directions
a24744,backward_only
a30057,both_directions
a04655,isolated
a28805,isolated
a27295,isolated
a23288,isolated
a14133,forward_only
a19186,backward_only
a21697,both_directions
a13848,isolated
a09910,isolated
a10128,both_directions
a27253,isolated
a22193,backward_only
a04297,both_directions
a13514,isolated
a27343,forward_only
a24722,isolated
a15731,both_directions
a20532,isolated
a24791,isolated
a18672,forward_only
a23252,isolated
a29061,isolated
a25687,forward_only
a00355,isolated
a26991,both_directions
a21694,both_directions
a31003,isolated
a23553,isolated
a05864,backward_only
a02127,isolated
a14289,backward_only
a31087,forward_only
a19110,isolated
a00615,both_directions
a30018,forward_only
a16068,isolated
a30085,isolated
a24826,backward_only
a04237,both_directions
a29735,isolated
a00058,both_directions
a17285,isolated
a27422,isolated
a14730,backward_only
a18592,forward_only
a06590,isolated
a12780,isolated
a30023,isolated
a30493,both_directions
a20683,backward_only
a18415,forward_only
a24674,forward_only
a09320,both_directions
a16717,both_directions
a09298,forward_only
a05734,isolated
a06635,both_directions
a21747,both_directions
a30371,isolated
a00412,isolated
a21865,backward_only
a10004,isolated
a20768,forward_only
a04041,backward_only
a04937,isolated
a24481,backward_only
a17769,isolated
a14492,both_directions
a00386,backward_only
a18845,isolated
a27725,both_directions
a13141,backward_only
a07817,isolated
a23164,isolated
a30339,both_directions
a07057,forward_only
a10930,isolated
a01252,backward_only
a24864,isolated
a28106,isolated
a09555,backward_only
a29954,forward_only
a24341,forward_only
a23417,forward_only
a09058,isolated
a26980,isolated
a21197,forward_only
a31072,backward_only
a16990,backward_only
