account,profit_category
a02114,loss_or_zero
a23227,loss_or_zero
a07653,loss_or_zero
a28415,loss_or_zero
a28823,very_high_profit
a00481,loss_or_zero
a09302,very_high_profit
a23529,loss_or_zero
a26487,loss_or_zero
a17572,loss_or_zero
a08990,very_high_profit
a28785,loss_or_zero
a14955,very_high_profit
a07407,very_high_profit
a12674,loss_or_zero
a29931,very_high_profit
a28685,very_high_profit
a17622,very_high_profit
a29595,loss_or_zero
a08700,very_high_profit
a11208,very_high_profit
a31337,very_high_profit
a25735,loss_or_zero
a23498,very_high_profit
a27060,loss_or_zero
a10484,loss_or_zero
a04471,very_high_profit
a05904,very_high_profit
a21722,loss_or_zero
a19256,loss_or_zero
a14039,very_high_profit
a06210,loss_or_zero
a00832,loss_or_zero
a24380,very_high_profit
a31256,loss_or_zero
a05726,loss_or_zero
a13356,loss_or_zero
a05773,loss_or_zero
a23810,loss_or_zero
a09728,very_high_profit
a19242,loss_or_zero
a04492,loss_or_zero
a12622,loss_or_zero
a15865,loss_or_zero
a17176,loss_or_zero
a14982,loss_or_zero
a05678,very_high_profit
a15153,loss_or_zero
a03962,loss_or_zero
a07374,loss_or_zero
a13246,loss_or_zero
a02916,loss_or_zero
a19517,very_high_profit
a29262,loss_or_zero
a19148,very_high_profit
a05420,very_high_profit
a29727,very_high_profit
a13249,very_high_profit
a17310,loss_or_zero
a06893,loss_or_zero
a16083,loss_or_zero
a20133,loss_or_zero
a17772,very_high_profit
a21862,very_high_profit
a06846,loss_or_zero
a27504,very_high_profit
a01033,very_high_profit
a21821,very_high_profit
a14331,loss_or_zero
a05890,very_high_profit
a26873,loss_or_zero
a08963,loss_or_zero
a24207,loss_or_zero
a02232,loss_or_zero
a14938,loss_or_zero
a11122,very_high_profit
a07599,very_high_profit
a18785,loss_or_zero
a28942,very_high_profit
a00607,loss_or_zero
a29890,loss_or_zero
a21589,loss_or_zero
a28976,loss_or_zero
a10270,loss_or_zero
a28752,loss_or_zero
a04561,loss_or_zero
a22265,loss_or_zero
a20756,loss_or_zero
a06301,very_high_profit
a13882,loss_or_zero
a08564,very_high_profit
a12136,very_high_profit
a08319,very_high_profit
a13887,very_high_profit
a24953,loss_or_zero
a24893,loss_or_zero
a01099,very_high_profit
a18264,loss_or_zero
a03128,very_high_profit
a19674,very_high_profit
a02336,loss_or_zero
a21934,very_high_profit
a17699,loss_or_zero
a16693,loss_or_zero
a29110,loss_or_zero
a06032,very_high_profit
a16282,loss_or_zero
a27874,loss_or_zero
a13596,very_high_profit
a02277,very_high_profit
a13231,very_high_profit
a30413,loss_or_zero
a00621,loss_or_zero
a03424,very_high_profit
a12433,very_high_profit
a24512,very_high_profit
a22625,very_high_profit
a01907,loss_or_zero
a05877,loss_or_zero
a12263,loss_or_zero
a18102,loss_or_zero
